Parcel Number,Sale Date,Sale Amount,Address,Style,Year Built,Total SF,Lot Area,Appraised Value,Recording
1023162001,08/17/2013,"$162,500","1953 GRANTWOOD DR, IOWA CITY",1 Story Frame,1975,1052,"12,065","$269,030",5151-206
1014326003,05/30/2013,"$163,000","1309 KIRKWOOD AVE, IOWA CITY",1 Story Frame,1950,1073,"13,000","$300,110",5125-938
1014262003,06/13/2013,"$164,900","908 ROOSEVELT ST, IOWA CITY",1 Story Frame,1943,1102,"6,250","$256,140",5107-549
1002301016,12/06/2013,"$165,000","1380 DODGE STREET CT, IOWA CITY",1 Story Frame,1900,1310,"131,116","$276,340",5188-400
1012456021,06/21/2013,"$165,000","3010 RADCLIFFE AVE, IOWA CITY",1 Story Frame,1972,988,"8,640","$245,950",5119-95
1012459001,08/07/2013,"$165,000","174 DARTMOUTH ST, IOWA CITY",1 Story Frame,1967,960,"9,100","$240,750",5153-369
1012459003,12/17/2013,"$165,000","212 DARTMOUTH ST, IOWA CITY",Split Foyer Frame,1967,1028,"9,100","$287,550",5195-550
1013381013,12/06/2013,"$165,000","1614 ESTHER ST, IOWA CITY",Split Foyer Frame,1978,1274,"6,600","$269,090",5186-939
1014262006,06/24/2013,"$165,000","919 MAGGARD ST, IOWA CITY",2 Story Frame,1940,1378,"8,125","$270,530",5124-44
1014320002,05/10/2013,"$165,000","1605 FRIENDLY AVE, IOWA CITY",1 Story Frame,1956,1339,"8,710","$268,080",5091-536
1014381007,10/10/2013,"$165,000","1414 FRANKLIN ST, IOWA CITY",1 Story Frame,1955,1020,"7,560","$283,260",5172-321
1023129005,06/14/2013,"$165,000","1809 HOLLYWOOD BLVD, IOWA CITY",Split Foyer Frame,1984,1111,"9,435","$268,820",5119-401
1023203003,08/28/2013,"$165,000","1634 HOLLYWOOD BLVD, IOWA CITY",1 Story Frame,1965,1044,"11,250","$253,670",5153-593
1023376012,10/03/2013,"$165,000","1522 DICKENSON LN, IOWA CITY",1 Story Frame,2001,1279,"6,600","$246,390",5167-782
1023128003,11/26/2013,"$166,000","1909 DELWOOD DR, IOWA CITY",1 Story Frame,1981,1220,"12,530","$277,630",5185-30
1010407014,02/22/2013,"$167,000","938 E JEFFERSON ST, IOWA CITY",2 Story Frame,1882,2272,"9,000","$476,930",5056-84
1012302021,09/16/2013,"$167,000","27 GREEN MOUNTAIN DR, IOWA CITY",1 Story Frame,1978,2142,"12,615","$435,420",5161-25
1012456002,08/13/2013,"$167,000","3035 SWEET BRIAR AVE, IOWA CITY",1 Story Frame,1970,1308,"8,640","$287,930",5147-362
1017329001,06/14/2013,"$167,500","1044 JENSEN ST, IOWA CITY",Split Foyer Frame,1994,938,"5,760","$248,480",5110-903
1015408017,07/24/2013,"$167,850","1301 MARCY ST, IOWA CITY",1 1/2 Story Frame,1900,1021,"7,200","$270,810",5141-358
1013226038,06/06/2013,"$168,000","2410 FRIENDSHIP ST, IOWA CITY",1 Story Frame,1958,1693,"8,400","$244,920",5104-877
1014362007,02/18/2013,"$168,000","1607 RIDGE ST, IOWA CITY",1 Story Frame,1951,1110,"6,250","$280,810",5055-283
1014426003,06/02/2013,"$168,000","1907 G ST, IOWA CITY",1 Story Frame,1925,1162,"12,000","$284,710",5136-390
1023203010,07/19/2013,"$168,000","1502 HOLLYWOOD BLVD, IOWA CITY",1 Story Frame,1972,1116,"10,650","$259,810",5132-193
1015101022,06/28/2013,"$168,500","528 S GOVERNOR ST, IOWA CITY",2 Story Frame,1844,1262,"7,938","$270,410",5132-813
1010186012,05/20/2013,"$169,000","320 N DODGE ST, IOWA CITY",1 1/2 Story Frame,1900,1425,"4,500","$249,480",5100-452
1012362006,09/05/2013,"$169,500","2502 E COURT ST, IOWA CITY",Split Level Frame,1962,1224,"12,450","$246,140",5157-827
1023152008,06/20/2013,"$169,500","1818 FLATIRON AVE, IOWA CITY",Split Foyer Frame,1980,1122,"7,735","$266,870",5118-678
1024129026,07/19/2013,"$169,500","1761 DOVER ST, IOWA CITY",Split Foyer Frame,1982,1248,"10,176","$254,280",5136-550
1016272003,05/23/2013,"$169,900","1215 W BENTON ST, IOWA CITY",Split Level Frame,1966,1296,"8,400","$286,410",5100-79
1011227010,03/29/2013,"$170,000","600 RENO ST, IOWA CITY",1 Story Frame,1955,1799,"24,480","$411,670",5073-329
1012376014,08/30/2013,"$170,000","226 SHRADER RD, IOWA CITY",1 Story Frame,1966,1152,"8,175","$270,630",5155-212
1014181001,08/02/2013,"$170,000","2029 D ST, IOWA CITY",1 Story Frame,1955,1070,"6,000","$244,450",5152-701
1014201001,09/13/2013,"$170,000","409 S 7TH AVE, IOWA CITY",Split Foyer Frame,1992,1146,"7,095","$257,210",5161-287
1015137001,07/01/2013,"$170,000","603 S DODGE ST, IOWA CITY",2 Story Frame,1900,2086,"4,500","$401,530",5123-202
1015187004,07/17/2013,"$170,000","726 WALNUT ST, IOWA CITY",1 Story Frame,1895,1064,"9,600","$264,200",5133-841
1023263017,06/17/2013,"$171,000","1168 BRIAR DR, IOWA CITY",Split Foyer Frame,1984,1137,"12,555","$296,450",5114-1
1013457006,08/20/2013,"$171,500","23 WAKEFIELD CT, IOWA CITY",1 Story Frame,1984,1395,"8,591","$258,680",5154-455
1013228023,09/30/2013,"$172,000","2416 CRESTVIEW AVE, IOWA CITY",1 Story Frame,1958,1232,"9,975","$279,180",5168-42
1014129003,05/31/2013,"$172,000","1816 B ST, IOWA CITY",1 Story Brick,1948,915,"5,501","$265,980",5112-88
1014208010,09/27/2013,"$172,000","523 RUNDELL ST, IOWA CITY",1 Story Frame,1935,929,"6,250","$224,980",5166-602
1017338001,11/18/2013,"$173,500","2630 WALDEN RD, IOWA CITY",Split Foyer Frame,1992,966,"6,750","$259,670",5181-61
1022192004,05/14/2013,"$173,500","728 CHESTNUT CT, IOWA CITY",Split Foyer Frame,1993,1132,"8,784","$249,910",5097-369
1013278004,04/15/2013,"$174,000","2803 EASTWOOD DR, IOWA CITY",Split Foyer Frame,1965,1456,"14,591","$296,800",5081-768
1013139010,06/12/2013,"$174,900","2836 BROOKSIDE DR, IOWA CITY",1 Story Frame,1963,1008,"12,600","$294,440",5117-467
1013155016,11/07/2013,"$174,900","2910 EASTWOOD DR, IOWA CITY",1 Story Frame,1965,1288,"9,559","$314,290",5179-56
1010411013,12/06/2013,"$175,000","708 E IOWA AVE, IOWA CITY",2 Story Frame,1910,1289,"2,960","$236,240",5186-721
1012429015,05/16/2013,"$175,000","111 BOWLING GREEN PL, IOWA CITY",Split Foyer Frame,1974,1144,"10,320","$290,050",5092-868
1014339004,05/20/2013,"$175,000","1214 YEWELL ST, IOWA CITY",2 Story Frame,1935,1404,"6,075","$284,070",5106-344
1015178006,07/01/2013,"$175,000","646 S LUCAS ST, IOWA CITY",2 Story Frame,1870,1586,"7,950","$266,610",5122-922
1011253004,06/24/2013,"$176,000","1111 CHURCH ST, IOWA CITY",1 Story Frame,1920,1200,"11,250","$297,160",5116-480
1014278006,07/23/2013,"$176,000","736 GRANT ST, IOWA CITY",1 Story Frame,1920,1266,"6,250","$268,020",5137-490
1018427002,08/21/2013,"$176,000","1242 DUCK CREEK DR, IOWA CITY",2 Story Frame,1987,1764,"13,200","$380,320",5155-883
1023378003,07/30/2013,"$176,000","1444 DICKENSON LN, IOWA CITY",Split Foyer Frame,2001,1208,"6,600","$277,170",5143-369
1023436005,09/27/2013,"$176,500","79 STANWYCK DR, IOWA CITY",1 Story Frame,1998,1293,"8,000","$264,170",5165-845
1012458004,05/22/2013,"$177,000","3022 STANFORD AVE, IOWA CITY",Split Foyer Frame,1967,1598,"8,520","$317,110",5097-827
1014129007,10/25/2013,"$177,250","1807 E COURT ST, IOWA CITY",1 Story Frame,1949,1463,"6,292","$259,520",5177-695
1018407012,01/22/2013,"$178,000","2808 IRVING AVE, IOWA CITY",2 Story Frame,1999,1630,"2,808","$303,750",5043-484
1003404002,01/20/2013,"$178,500","539 KIMBALL RD, IOWA CITY",1 Story Frame,1956,1288,"12,220","$257,300",5048-12
1013154005,05/01/2013,"$178,500","802 WILLOW ST, IOWA CITY",2 Story Frame,1963,1666,"9,200","$320,200",5087-584
1011352004,10/28/2013,"$179,000","1639 MORNINGSIDE DR, IOWA CITY",2 Story Brick,1934,1322,"5,550","$288,080",5177-385
1014408001,09/10/2013,"$179,000","2221 H ST, IOWA CITY",1 Story Frame,1925,1037,"5,500","$281,230",5157-611
1003402001,07/05/2013,"$180,000","717 WHITING AVE, IOWA CITY",1 Story Frame,1955,960,"16,553","$275,370",5124-595
1010288008,08/29/2013,"$180,000","205 E BLOOMINGTON ST, IOWA CITY",2 Story Frame,1915,1256,"2,000","$247,260",5161-194
1013251004,06/11/2013,"$180,000","2517 FRIENDSHIP ST, IOWA CITY",1 Story Frame,1960,1229,"8,760","$266,280",5109-491
1022185010,04/30/2013,"$180,000","730 PEPPER DR, IOWA CITY",Split Level Frame,1994,1572,"10,368","$293,430",5087-982
1014282021,10/09/2013,"$181,000","817 DEARBORN ST, IOWA CITY",1 Story Frame,1918,1072,"6,250","$216,110",5170-807
1017154015,08/12/2013,"$181,500","772 KESWICK DR, IOWA CITY",1 Story Frame,1969,1248,"7,150","$262,840",5146-258
1013160003,05/31/2013,"$182,000","820 WILLOW ST, IOWA CITY",Split Foyer Frame,1964,1244,"10,000","$301,460",5100-744
1018405007,05/30/2013,"$182,000","1220 EMILY CT, IOWA CITY",Split Foyer Frame,1998,1041,"6,360","$277,650",5099-328
1023396002,10/18/2013,"$182,000","3015 RUSSELL DR, IOWA CITY",Split Foyer Frame,2002,1245,"6,250","$273,120",5173-972
1011313008,06/12/2013,"$182,500","1614 MORNINGSIDE DR, IOWA CITY",1 Story Frame,1931,1312,"10,153","$307,190",5116-543
1014101013,06/27/2013,"$182,500","438 2ND AVE, IOWA CITY",1 Story Frame,1954,1128,"12,000","$284,050",5119-713
1014154009,06/14/2013,"$182,500","1855 MUSCATINE AVE, IOWA CITY",1 Story Frame,1936,1405,"8,250","$255,530",5113-757
1016153004,05/01/2013,"$182,500","720 GREENWOOD DR, IOWA CITY",1 Story Frame,1960,1424,"9,790","$295,090",5085-305
1023383010,10/28/2013,"$183,000","1516 HEMINGWAY LN, IOWA CITY",Split Foyer Frame,1999,1208,"6,600","$269,060",5176-703
1022189008,06/18/2013,"$184,500","2227 HAZEL CT, IOWA CITY",2 Story Frame,1987,1920,"8,791","$276,570",5119-2
1010405013,07/09/2013,"$185,000","706 E JEFFERSON ST, IOWA CITY",2 Story Frame,1921,1188,"2,800","$249,830",5127-319
1011263008,04/03/2013,"$185,000","1007 E BLOOMINGTON ST, IOWA CITY",2 Story Frame,1920,2582,"10,200","$431,390",5077-430
1013453005,11/06/2013,"$185,000","18 DUNUGGAN CT, IOWA CITY",1 Story Frame,1979,1008,"17,941","$256,490",5180-485
1014207004,08/18/2013,"$185,000","507 GRANT ST, IOWA CITY",1 1/2 Story Frame,1912,1232,"6,250","$274,650",5159-892
1015427003,06/14/2013,"$185,000","619 KIRKWOOD AVE, IOWA CITY",1 1/2 Story Frame,1952,1347,"6,750","$256,700",5130-407
1016328010,03/26/2013,"$185,000","1105 WEEBER CIR, IOWA CITY",1 Story Frame,1976,924,"9,280","$269,760",5071-247
1023435012,06/12/2013,"$185,000","179 STANWYCK DR, IOWA CITY",Split Level Frame,1995,1240,"8,704","$265,570",5121-684
1016330013,04/26/2013,"$185,500","1010 WYLDE GREEN RD, IOWA CITY",1 Story Frame,1966,1370,"12,283","$363,110",5086-711
1023393001,06/04/2013,"$185,500","1531 LANGENBERG AVE, IOWA CITY",Split Level Frame,2002,1706,"10,220","$275,210",5102-134
1012304002,11/22/2013,"$186,000","130 N MOUNT VERNON DR, IOWA CITY",1 Story Frame,1972,1288,"11,238","$341,030",5183-506
1013107024,06/27/2013,"$186,000","3109 RAVEN ST, IOWA CITY",1 Story Frame,1966,1092,"9,576","$302,790",5126-645
1023305001,04/12/2013,"$186,000","1622 TOFTING AVE, IOWA CITY",1 Story Frame,2003,1224,"8,163","$307,620",5081-176
1010132004,06/26/2013,"$186,500","323 BROWN ST, IOWA CITY",1 Story Frame,1915,942,"6,000","$257,350",5125-172
1014209012,06/17/2013,"$186,500","602 RUNDELL ST, IOWA CITY",1 Story Frame,1920,1186,"6,250","$287,930",5121-850
1014338001,08/12/2013,"$187,000","1106 YEWELL ST, IOWA CITY",2 Story Frame,1950,1464,"7,293","$296,030",5147-559
1018406006,07/23/2013,"$187,000","1336 SHANNON DR, IOWA CITY",Split Foyer Frame,1999,1136,"5,640","$277,990",5145-983
1022160005,07/03/2013,"$187,000","652 SANDUSKY DR, IOWA CITY",1 Story Frame,1992,1500,"8,040","$294,300",5128-72
1014336008,06/25/2013,"$187,250","1212 GINTER AVE, IOWA CITY",2 Story Frame,1941,1248,"7,800","$291,380",5136-340
1013129004,01/03/2013,"$187,500","411 KENWOOD DR, IOWA CITY",1 Story Frame,1963,1726,"10,400","$298,100",5039-518
1017333004,01/10/2013,"$187,500","1150 JENSEN ST, IOWA CITY",Split Foyer Frame,1993,1200,"5,760","$280,300",5037-226
1012430004,05/28/2013,"$188,000","132 N WESTMINSTER ST, IOWA CITY",Split Foyer Frame,1976,1304,"13,875","$309,610",5108-176
1017155035,11/01/2013,"$188,000","5 WESTGATE CIR, IOWA CITY",1 Story Frame,1974,1192,"11,798","$269,000",5177-924
1017339001,03/18/2013,"$188,000","1255 COLL DR, IOWA CITY",Split Foyer Frame,1992,1200,"9,150","$279,280",5071-519
1013453001,06/06/2013,"$188,500","2 DUNUGGAN CT, IOWA CITY",Split Foyer Frame,1977,1008,"11,974","$276,360",5132-252
1011382005,04/08/2013,"$189,000","1218 E COLLEGE ST, IOWA CITY",1 Story Frame,1910,1133,"3,720","$254,110",5077-397
1018407026,04/05/2013,"$189,500","1270 SHANNON DR, IOWA CITY",2 Story Frame,2000,1348,"4,725","$288,890",5076-161
1013177001,11/04/2013,"$189,520","809 BEECH ST, IOWA CITY",1 Story Frame,1972,1120,"13,350","$326,340",5179-676
1010177005,07/22/2013,"$190,000","820 FAIRCHILD ST, IOWA CITY",1 1/2 Story Frame,1900,1040,"6,000","$281,040",5145-453
1012279007,05/01/2013,"$190,000","224 N MOUNT VERNON DR, IOWA CITY",Split Foyer Frame,1973,1196,"10,710","$291,190",5087-526
1012416005,12/20/2013,"$190,000","84 AMHURST ST, IOWA CITY",Split Foyer Frame,1978,1242,"10,792","$280,600",5197-475
1012428001,11/27/2013,"$190,000","205 N WESTMINSTER ST, IOWA CITY",Split Foyer Frame,1978,1220,"13,600","$272,260",5185-851
1012430003,05/30/2013,"$190,000","142 N WESTMINSTER ST, IOWA CITY",Split Foyer Frame,1977,1290,"12,400","$318,310",5106-244
1013303001,10/02/2013,"$190,000","2901 MUSCATINE AVE, IOWA CITY",1 Story Frame,1963,1404,"10,950","$301,330",5178-455
1017331003,06/14/2013,"$190,000","2623 IRVING AVE, IOWA CITY",Split Foyer Frame,1994,1200,"6,360","$287,270",5115-864
1017338005,05/24/2013,"$190,000","1246 COLL DR, IOWA CITY",Split Foyer Frame,1992,1200,"6,588","$300,560",5096-816
1022190004,08/13/2013,"$192,000","746 PEPPER DR, IOWA CITY",Split Level Frame,1994,1652,"7,930","$285,740",5149-320
1017379040,07/29/2013,"$192,500","2260 ABBEY LN, IOWA CITY",1 Story Frame,1979,1594,"9,360","$320,650",5151-531
1011228007,03/28/2013,"$193,000","1102 CHURCH ST, IOWA CITY",1 1/2 Story Frame,1939,1229,"6,450","$286,340",5071-841
1012462008,03/21/2013,"$193,500","2929 CORNELL AVE, IOWA CITY",1 Story Frame,1972,1376,"9,240","$306,320",5069-893
1012331003,06/14/2013,"$194,000","2518 PRINCETON RD, IOWA CITY",Split Foyer Frame,1969,1248,"14,415","$297,790",5112-384
1013178002,12/19/2013,"$194,000","3122 JUNIPER DR, IOWA CITY",1 Story Frame,1969,1144,"13,845","$327,220",5192-583
1022191001,08/08/2013,"$194,000","733 PEPPER DR, IOWA CITY",1 Story Frame,1993,1510,"8,197","$346,180",5143-561
1016270004,07/06/2013,"$194,900","1124 HARLOCKE ST, IOWA CITY",Split Foyer Frame,1975,1132,"13,350","$299,600",5124-837
1012459007,07/08/2013,"$195,000","310 DARTMOUTH ST, IOWA CITY",Split Foyer Frame,1969,1312,"9,100","$300,090",5130-167
1023398001,11/25/2013,"$195,000","1677 VESTI LN, IOWA CITY",Split Level Frame,2006,1965,"8,401","$344,490",5185-505
1010137013,03/18/2013,"$195,200","512 CHURCH ST, IOWA CITY",2 Story Frame,1910,1372,"9,000","$296,440",5066-894
1018404021,03/29/2013,"$196,000","2851 IRVING AVE, IOWA CITY",Split Foyer Frame,1999,1208,"10,940","$296,180",5077-417
1018433008,11/20/2013,"$196,000","51 ANDREA CT, IOWA CITY",Split Foyer Frame,2002,1247,"9,920","$320,210",5182-854
1023352001,06/10/2013,"$196,000","1404 DICKENSON LN, IOWA CITY",Split Level Frame,2001,1818,"9,779","$307,560",5134-569
1018404002,06/18/2013,"$196,500","2749 IRVING AVE, IOWA CITY",Split Foyer Frame,2000,1208,"7,080","$305,350",5131-145
1010189006,07/03/2013,"$197,000","711 E BLOOMINGTON ST, IOWA CITY",2 Story Frame,1847,1216,"6,000","$281,260",5136-407
1014115001,06/11/2013,"$197,000","2127 FRIENDSHIP ST, IOWA CITY",2 Story Frame,1903,3050,"12,000","$439,620",5130-974
1017153005,05/28/2013,"$198,000","705 KESWICK DR, IOWA CITY",Split Foyer Frame,1971,1236,"7,150","$280,120",5128-747
1017483007,01/11/2013,"$198,000","32 EALING DR, IOWA CITY",Split Foyer Frame,1978,1184,"8,400","$287,340",5045-990
1023376007,07/15/2013,"$198,000","1604 DICKENSON LN, IOWA CITY",2 Story Frame,1995,1773,"6,600","$307,920",5134-935
1022177003,10/14/2013,"$198,200","776 SANDUSKY DR, IOWA CITY",1 Story Brick,1991,1488,"8,512","$327,920",5174-167
1018405001,07/25/2013,"$198,500","1104 EMILY CT, IOWA CITY",Split Foyer Frame,1999,1208,"9,862","$309,660",5145-828
1011311007,07/18/2013,"$199,000","5 N 7TH AVE, IOWA CITY",2 Story Frame,1954,1431,"10,075","$330,320",5136-986
1009257007,08/13/2013,"$199,900","1131 DILL ST, IOWA CITY",1 Story Frame,1915,889,"3,750","$276,170",5145-63
1012428003,07/07/2013,"$199,900","155 N WESTMINSTER ST, IOWA CITY",Split Foyer Frame,1976,1420,"11,250","$324,160",5125-8
1010283001,10/15/2013,"$200,000","309 FAIRCHILD ST, IOWA CITY",2 Story Frame,1908,1756,"6,000","$316,360",5170-903
1014228001,07/26/2013,"$200,000","425 CLARK ST, IOWA CITY",2 Story Frame,1900,1276,"4,455","$300,700",5136-219
1016139006,08/30/2013,"$200,000","422 MELROSE CT, IOWA CITY",2 Story Frame,1900,1560,"5,940","$343,750",5155-867
1016339001,05/23/2013,"$200,000","1115 SUNSET ST, IOWA CITY",2 Story Frame,1978,2222,"12,735","$413,580",5099-251
1022157001,11/01/2013,"$200,000","711 SANDUSKY DR, IOWA CITY",Split Level Frame,1992,2004,"8,316","$293,510",5178-337
1023356002,06/09/2013,"$200,000","1358 LANGENBERG AVE, IOWA CITY",Split Level Frame,2004,1885,"8,138","$320,010",5107-613
1023396009,11/30/2013,"$200,000","1415 LANGENBERG AVE, IOWA CITY",Split Level Frame,2003,1816,"8,400","$308,500",5186-896
1011154004,12/11/2013,"$201,000","428 N 7TH AVE, IOWA CITY",2 Story Frame,1989,1704,"10,270","$345,790",5191-724
1013287005,06/30/2013,"$202,000","734 PERRY CT, IOWA CITY",1 1/2 Story Frame,1984,1238,"7,623","$324,830",5121-940
1023396010,06/12/2013,"$202,000","1405 LANGENBERG AVE, IOWA CITY",Split Level Frame,2003,1842,"8,195","$305,730",5119-332
1016271002,04/12/2013,"$203,000","1129 W BENTON ST, IOWA CITY",1 Story Frame,1959,1084,"12,300","$281,450",5200-738
